Pathway Name,Genes
IL4,IL4;IL4R
Interferon gamma signaling,IFNG;IFNGR1;IFNGR2;
EGFR1,EGF;EGFR;ERBB2;ERBB3
Signaling by ERBB2,EGF;EGFR;ERBB2;ERBB3;ERBB4;
IL12-mediated signaling events,IL12RB2;IL12RB1;IL12B;IL12A
Toll Like Receptor TLR6:TLR2 Cascade,TLR2
Toll Like Receptor TLR1:TLR2 Cascade,TLR2
IL4-mediated signaling events,IL4R;IL4
TGF_beta_Receptor,TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TGFBR3
TNFalpha,TNF;TNFRSF11A;TNFRSF1A;TNFRSF1B;TNFRSF8
IL2,IL2;IL2RA;IL2RB;IL2RG
Signaling by FGFR,FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGFR1;FGFR2;FGFR2b;FGFR2c;FGFR3;FGFR4
Signaling by PDGF,;PDGFA;PDGFB;PDGFC;PDGFD;PDGFRA;PDGFRB
